PlaceName,StateAbbr,CDCHI,domain_cardio,domain_resp,domain_behav
Pasadena,TX,51.83208166905565,0.5802776530958128,0.1480119249902137,0.82896984471944
Winston-Salem,NC,51.8197933520863,0.7437421343066579,0.6040345812100609,0.20778564075689504
Lynchburg,VA,51.693285309790895,0.460007332904679,0.734326768701446,0.3437569797056392
Santa Ana,CA,51.61548181802037,0.12949791281845888,-0.1777185437382485,1.575566733706467
Fort Worth,TX,51.28026018331841,0.7961582720120243,0.21315801873590592,0.47173434143646986
Independence,MO,51.25013727395426,-0.021707227965243287,1.1252033311756005,0.3733944327255917
Deerfield Beach,FL,51.02711596364953,-0.01473652834348454,1.0600572374299082,0.40076967719905937
Little Rock,AR,50.9726390998438,0.853006143694571,0.2783041124815987,0.30725665374101546
Houston,TX,50.88508794881046,0.9580390915354741,-0.11257244999255629,0.5810090984756919
Palmdale,CA,50.74221819858638,0.24923426310289742,0.21315801873590592,0.9443525648341717
Norfolk,VA,50.66851322863033,0.6894723785612364,0.47374239371867594,0.23335111839317435
Murfreesboro,TN,50.606703811665575,0.47329259391801903,0.734326768701446,0.18041039628342734
Fayetteville,NC,50.548520605736506,1.1055913095144367,0.2783041124815987,-0.0039010003768783132
Kenner,LA,50.54240726002087,0.8264123550921698,-0.047426356246863505,0.6001641448765979
Tyler,TX,50.52444131505322,0.6653062524537307,0.21315801873590592,0.49820470249134324
El Cajon,CA,50.43553207435248,-0.22436141306773175,0.9297650499385232,0.6589866092072061
Westland,MI,50.10763680632912,0.058839418427551665,1.2554955186669847,0.004771639404980682
Hampton,VA,50.02530740015955,0.9990085194525838,0.21315801873590592,0.09557001260724213
Wichita Falls,TX,49.933013942866936,0.572640262353151,0.34345020622729094,0.3788999805423715
Edinburg,TX,49.90898854645378,1.132857323585439,-0.698887293703788,0.8577024143207989
Tampa,FL,49.802596322043,0.648704955780823,0.5388884874643681,0.08938580222651706
Mission,TX,49.72608974503398,0.9306363581306889,-0.5034490124667107,0.8392260304838386
Lancaster,CA,49.61907341196191,0.16489602989252997,0.40859629997298375,0.6781416556081118
Yuma,AZ,49.47256897362854,0.4114133240977551,0.47374239371867594,0.34624540910677243
Jacksonville,FL,49.34643891979773,0.2818996091564417,0.734326768701446,0.19775567584714498
Albany,NY,49.3172389058453,0.38160199313262183,0.5388884874643681,0.2894589324680008
Pomona,CA,49.115827611784916,0.306816777122311,-0.24286463748394072,1.1181815548754304
